VINYORK LEATHER WORKS,,,,
HARDWARE MATERIALS,,,,
RACK NO,MATERIAL NAME,QTY,UAM,CLOSING STOCK
1,1-6*13MM -D.NUT,2500,NOS,2379
2,2-8*20MM- D.NUT,800,NOS,200
3,3-10*20MM- D.NUT,1200,NOS,905
4,4-6MM-T.NUT,200,NOS,1425
5,5-8MM-T.NUT,600,NOS,145
6,6-10MM-TNUT,1200,NOS,1193
7,7-HT HEX BOLT-6*20,492,NOS,0
8,8-HT HEX BOLT-6*25,1450,NOS,1101
9,9-HT HEX BOLT-6*40,500,NOS,721
10,10-HT HEX BOLT-6*50,200,NOS,217
11,11-HT HEX BOLT-6*60,300,NOS,70
12,12-YP NUT-M008,800,NOS,558
13,13-YP NUT-M10,600,NOS,328
14,14-MS WASHER-6MM,100,NOS,133
15,15-MS WASHER-8MM,300,NOS,17
16,16-MS WASHER-10MM,800,NOS,68
17,17-SOFA CONNECTOR,160,NOS,249
17,17-ZIG ZAG CLAMP 4 HOLE,2400,NOS,731
17,17-SCB-609-SOFA BED ADJESTABLE 3 POSITION ANGLE,18,NOS,16
18,18-B008-15CM-GLASSY BLACK,141,NOS,26
19,19-SOFA HADREST DOUBLE PATTI,74,SET,5
20,20-HEADREST RACHET LH&RH,73,NOS,49
21,"21-WW BOLD 4""",547,NOS,379
22,"22-BACK REST 11""",50,NOS,0
23,"23-BACK REST 9""",14,NOS,23
24,24-HR90o-190o-MODERN SOFA HEDREST,51,NOS,21
25,C-SOFA MECHANISUM-A69(KF),0,NOS,10
28,28-ROYALTON LEG BLACK,82,NOS,0
29,29-L618 LEG,118,NOS,12
30,"30-BUSH-5""",113,NOS,107
31,"31-BUSH-3""",144,NOS,43
32,"32-BUSH-2""",120,NOS,0
33,"33-BUSH-1""",168,NOS,147
34,34-BUSH-1-1/2,180,NOS,119
35,"35-BUSH-6""",22,NOS,10
36,"36-BUSH-7""",57,NOS,85
37,37-SS ALLEN BUTTON HEAD BOLD-06*25,943,NOS,820
38,38-SS ALLEN BUTTON HEAD BOLD-08*25,474,NOS,292
39,39-SS ALLEN BUTTON HEAD BOLD-08*40,450,NOS,430
40,40-SS ALLEN BUTTON HEAD BOLT-08*50,687,NOS,593
41,41-SS ALLEN BUTTON HEAD BOLT-10*25,1259,NOS,1259
42,42-SS ALLEN BUTTON HEAD BOLT-10*40,729,NOS,598
43,43-SS ALLEN BUTTON HEAD BOLT-10*50,480,NOS,365
44,44-SS ALLEN CSK BOLT-8*25,913,NOS,580
45,45-SS ALLEN CSK BOLT-8*40,176,NOS,400
46,46-SS ALLEN CSK BOLT-8*50,537,NOS,20
47,47-SS ALLEN CSK BOLT-10*25,534,NOS,135
48,48-SS ALLEN CSK BOLT-10*40,379,NOS,337
49,49-SS ALLEN CSK BOLT-10*50,246,NOS,246
